n_processes,n_requests,wall_time_s,throughput_rps,p50_latency_s,p95_latency_s,n_errors
1,32,9.0079,3.5524,1.5311,1.9231,0
2,64,9.1765,6.9743,1.4738,1.9481,0
4,128,9.3825,13.6424,1.6752,2.0639,0
8,256,11.3982,22.4596,1.7245,2.1408,0
16,512,17.8925,28.6153,1.8575,3.2415,0
24,768,23.5977,32.5455,1.8537,3.2859,0
32,1024,32.9487,31.0786,2.0642,3.3040,0
50,1600,67.0832,23.8510,1.7926,3.2328,0
